LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
Albania,RENEWABLE,TOT,KTOE,A,2021,1032.1358
Argentina,RENEWABLE,TOT,KTOE,A,2021,6436.7862
Armenia,RENEWABLE,TOT,KTOE,A,2021,285.9236
Australia,RENEWABLE,TOT,KTOE,A,2021,10847.2829
Austria,RENEWABLE,TOT,KTOE,A,2021,10228.9282
Austria,RENEWABLE,TOT,KTOE,A,2021,234612.9099
Azerbaijan,RENEWABLE,TOT,KTOE,A,2021,187.3468
Belgium,RENEWABLE,TOT,KTOE,A,2021,4923.8324
Bosnia and Herzegovina,RENEWABLE,TOT,KTOE,A,2021,1904.328
Brazil,RENEWABLE,TOT,KTOE,A,2021,132156.5234
Bulgaria,RENEWABLE,TOT,KTOE,A,2021,2691.9513
Canada,RENEWABLE,TOT,KTOE,A,2021,46727.1931
Chile,RENEWABLE,TOT,KTOE,A,2021,9246.9527
Colombia,RENEWABLE,TOT,KTOE,A,2021,11533.4754
Costa Rica,RENEWABLE,TOT,KTOE,A,2021,2597.0313
Croatia,RENEWABLE,TOT,KTOE,A,2021,2524.4354
Cyprus,RENEWABLE,TOT,KTOE,A,2021,240.2715
Czech Republic,RENEWABLE,TOT,KTOE,A,2021,5093.014
Denmark,RENEWABLE,TOT,KTOE,A,2021,6823.8937
Estonia,RENEWABLE,TOT,KTOE,A,2021,1539.9867
Finland,RENEWABLE,TOT,KTOE,A,2021,12879.4512
France,RENEWABLE,TOT,KTOE,A,2021,27402.1698
Georgia,RENEWABLE,TOT,KTOE,A,2021,1129.068
Germany,RENEWABLE,TOT,KTOE,A,2021,45015.9179
Greece,RENEWABLE,TOT,KTOE,A,2021,3337.8158
Hungary,RENEWABLE,TOT,KTOE,A,2021,3102.3455
Iceland,RENEWABLE,TOT,KTOE,A,2021,5275.0805
Israel,RENEWABLE,TOT,KTOE,A,2021,1104.5704
Italy,RENEWABLE,TOT,KTOE,A,2021,27128.5329
Japan,RENEWABLE,TOT,KTOE,A,2021,28457.1157
Latvia,RENEWABLE,TOT,KTOE,A,2021,1900.8702
Lithuania,RENEWABLE,TOT,KTOE,A,2021,1810.8606
Luxembourg,RENEWABLE,TOT,KTOE,A,2021,411.6238
Malta,RENEWABLE,TOT,KTOE,A,2021,40.2767
Mexico,RENEWABLE,TOT,KTOE,A,2021,17352.6542
Moldova,RENEWABLE,TOT,KTOE,A,2021,694.8161
Morocco,RENEWABLE,TOT,KTOE,A,2021,2046.1692
Netherlands,RENEWABLE,TOT,KTOE,A,2021,7538.3271
New Zealand,RENEWABLE,TOT,KTOE,A,2021,8121.3843
Macedonia [FYROM],RENEWABLE,TOT,KTOE,A,2021,377.7215
Norway,RENEWABLE,TOT,KTOE,A,2021,15254.9278
Poland,RENEWABLE,TOT,KTOE,A,2021,12697.0651
Portugal,RENEWABLE,TOT,KTOE,A,2021,5838.4172
Ireland,RENEWABLE,TOT,KTOE,A,2021,1570.3253
Romania,RENEWABLE,TOT,KTOE,A,2021,6026.8843
Russia,RENEWABLE,TOT,KTOE,A,2021,22064.3017
Serbia,RENEWABLE,TOT,KTOE,A,2021,2710.3334
Slovakia,RENEWABLE,TOT,KTOE,A,2021,2077.4762
Slovenia,RENEWABLE,TOT,KTOE,A,2021,1127.3857
South Korea,RENEWABLE,TOT,KTOE,A,2021,6173.2254
Spain,RENEWABLE,TOT,KTOE,A,2021,19179.9783
Sweden,RENEWABLE,TOT,KTOE,A,2021,21460.8731
Switzerland,RENEWABLE,TOT,KTOE,A,2021,5501.8864
Turkey,RENEWABLE,TOT,KTOE,A,2021,24111.7577
Ukraine,RENEWABLE,TOT,KTOE,A,2021,4907.1726
United Kingdom,RENEWABLE,TOT,KTOE,A,2021,20720.8501
United States of America,RENEWABLE,TOT,KTOE,A,2021,168327.8326